Player,Position,Position_Group,Cap_Hit
"Zucker, Jason",L,Offense,4750000
"Zuccarello, Mats",R,Offense,4125000
"Zub, Artyom",D,Defense,4600000
"Zibanejad, Mika",C,Offense,8500000
"Zetterlund, Fabian",L,Offense,42750002025
"Zellweger, Olen",D,Defense,8441672023
"Zegras, Trevor",C,Offense,57500002023
"Zary, Connor",C,Offense,37750002025
"Zamula, Yegor",D,Defense,10000002025
"Zadorov, Nikita",D,Defense,5000000
"Zacha, Pavel",C,Offense,4750000
"Yurov, Danila",R,Offense,9500002025
"York, Cameron",D,Defense,51500002025
"Yamamoto, Kailer",R,Offense,7750002025
"Yakemchuk, Carter",D,Defense,9425002026
"Yager, Brayden",C,Offense,9183332025
"Xhekaj, Arber",D,Defense,13000002024
"Wright, Shane",C,Offense,8866662024
"Wright, Jared",R,Offense,8675002025
"Wotherspoon, Parker",D,Defense,10000002025
"Wood, Miles",L,Offense,2500000
"Wood, Matthew",L,Offense,9500002024
"Winterton, Ryan",C,Offense,8283332023
"Wilson, Garrett",L,Offense,7750002025
"Wilson, Tom",R,Offense,6500000
"Wilsby, Adam",D,Defense,7750002025
"Willander, Tom",D,Defense,9500002025
"Wiesblatt, Ozzy",C,Offense,7750002025
"Wiebe, Abram",D,Defense,9500002025
"Whitecloud, Zach",D,Defense,27500002022
"Werenski, Zach",D,Defense,9583333
"Wennberg, Alexander",C,Offense,5000000
"Weegar, MacKenzie",D,Defense,6250000
"Weber, Shea",D,Defense,78571432012
"Washe, Tim",C,Offense,8125002025
"Ward, Taylor",R,Offense,7750002025
"Walman, Jake",D,Defense,3400000
"Walker, Nathan",L,Offense,7750002024
"Walker, Sean",D,Defense,3600000
"Voronkov, Dmitri",L,Offense,41750002025
"Vlasic, Alex",D,Defense,46000002024
"Villeneuve, William",D,Defense,7750002025
"Vilardi, Gabriel",C,Offense,75000002025
"Viel, Jeffrey",L,Offense,7750002024
"Verhaeghe, Carter",C,Offense,7000000
"Veleno, Joseph",C,Offense,9000002025
"Vatrano, Frank",C,Offense,4571189
"Riemsdyk, James",L,Offense,10000002025
"Riemsdyk, Trevor",D,Defense,30000002023
"Vaakanainen, Urho",D,Defense,15500002025
"Ufko, Ryan",D,Defense,9250002024
"Tverberg, Ryan",C,Offense,8516672023
"Turcotte, Alex",C,Offense,7750002024
"Tucker, Tyler",D,Defense,9250002025
"Tuch, Alex",R,Offense,4750000
"Tsyplakov, Maxim",R,Offense,22500002025
"Trouba, Jacob",D,Defense,8000000
"Trocheck, Vincent",C,Offense,5625000
"Trenin, Yakov",C,Offense,35000002024
"Toropchenko, Alexei",R,Offense,17000002025
"Toninato, Dominic",C,Offense,8500002025
"Tolvanen, Eeli",R,Offense,34750002024
"Toffoli, Tyler",R,Offense,6000000
"Toews, Jonathan",C,Offense,2000000
"Toews, Devon",D,Defense,7250000
"Tkachuk, Matthew",L,Offense,9500000
"Tkachuk, Brady",L,Offense,8205714
"Tippett, Owen",R,Offense,62000002024
"Timmins, Conor",D,Defense,22000002025
"Thomson, Lassi",D,Defense,7750002025
"Thompson, Tage",C,Offense,7142857
"Thomas, Robert",C,Offense,8125000
"Theodore, Shea",D,Defense,7425000
"Texier, Alexandre",L,Offense,10000002025
"Terry, Troy",C,Offense,7000000
"Teravainen, Teuvo",C,Offense,5400000
"Tavares, John",C,Offense,4389280
"Tarasenko, Vladimir",R,Offense,4750000
"Tanev, Christopher",D,Defense,4500000
"Tanev, Brandon",L,Offense,2500000
"kora, Adam",L,Offense,8066662024
"Svechnikov, Andrei",R,Offense,7750000
"Svechkov, Fyodor",C,Offense,9250002023
"Suzuki, Nick",C,Offense,78750002022
"Suter, Pius",C,Offense,41250002025
"Suniev, Aydar",L,Offense,9233332024
"Sundqvist, Oskar",C,Offense,15000002024
"Stutzle, Tim",L,Offense,83500002023
"Sturm, Nico",C,Offense,20000002025
"Struble, Jayden",D,Defense,14125002025
"Strome, Ryan",C,Offense,50000002022
"Strome, Dylan",C,Offense,50000002023
"Stone, Mark",R,Offense,9500000
"Stephenson, Chandler",C,Offense,6250000
"Stenlund, Kevin",C,Offense,20000002024
"Steeves, Alex",C,Offense,8500002025
"Steel, Sam",C,Offense,21000002025
"Stecher, Troy",D,Defense,7875002024
"Stastney, Spencer",D,Defense,8250002024
"Stanley, Logan",D,Defense,12500002024
