Team,Projected_Cap_Hit,Current_Space,Offense,Defense,Goalies
Vegas Golden Knights,107.49,-11.99,65.41,33.30,9.13
Florida Panthers,103.55,-8.05,68.79,24.13,11.05
New York Islanders,99.36,-3.86,63.28,28.48,12.00
New Jersey Devils,98.74,-3.20,51.65,36.59,5.93
Dallas Stars,98.39,-2.89,66.39,26.17,9.25
Edmonton Oilers,97.99,-2.49,57.30,33.48,6.53
Ottawa Senators,101.08,-5.58,62.10,31.20,7.78
Montreal Canadiens,100.89,-5.39,58.45,34.20,8.24
Utah Hockey Club,99.89,-4.39,55.10,36.40,8.39
Colorado Avalanche,99.06,-3.56,60.20,30.10,8.76
Buffalo Sabres,98.89,-3.39,52.40,35.20,11.29
Tampa Bay Lightning,98.62,-3.12,61.12,28.50,9.00
Boston Bruins,95.17,0.32,54.20,31.40,9.57
Philadelphia Flyers,94.69,0.80,52.10,33.10,9.49
Toronto Maple Leafs,93.95,1.77,61.70,25.30,6.95
New York Rangers,93.69,2.22,54.52,30.63,8.54
Los Angeles Kings,92.34,3.15,55.40,29.30,7.64
Columbus Blue Jackets,91.90,3.59,48.20,34.10,9.60
Winnipeg Jets,90.54,4.95,50.30,31.20,9.04
Seattle Kraken,89.68,5.81,49.10,32.40,8.18
Anaheim Ducks,88.37,7.12,45.20,35.10,8.07
Carolina Hurricanes,87.45,8.04,52.10,29.35,6.00
Detroit Red Wings,86.55,8.94,48.40,30.10,8.05
Calgary Flames,85.12,10.37,42.30,34.20,8.62
Washington Capitals,84.10,11.40,46.20,29.40,8.50
Pittsburgh Penguins,83.57,11.92,49.10,26.40,8.07
Chicago Blackhawks,82.35,13.15,44.39,30.00,7.96
St. Louis Blues,82.14,13.35,46.10,28.50,7.54
Nashville Predators,81.12,14.37,43.20,30.40,7.52
Vancouver Canucks,80.78,14.71,48.10,24.50,8.18
San Jose Sharks,75.68,19.81,38.20,28.40,9.08
Minnesota Wild,106.32,-10.82,62.40,34.50,9.42
